Sr. No. (CCA),Sr. No. (instrument),Date,Year,Capital control action,Link to capital control instrument,Category,Asset Class,Ease/tightening,Remarks
102,78,15-05-2014,2014,Risk management framework for FPIs updated to give effect to the FPI Regs,https://www.sebi.gov.in/legal/circulars/may-2014/risk-management-framework-for-foreign-portfolio-investors-fpi-under-the-sebi-foreign-portfolio-investors-regulations-2014_26884.html,Procedure,General,0,
103,79,06-06-2014,2014,"FPIs allowed to invest on repatriation basis, in NCDs/RPS or debentures issued by a listed Indian company",https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=8928&Mode=0,Investment Condition,General,1,
104,80,20-06-2014,2014,Guidelines relating to participation of Foreign Portfolio Investors (FPIs) in the Exchange Traded Currency Derivatives (ETCD) market,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=8952&Mode=0,Investment Condition,Derivatives,1,
105,81,23-07-2014,2014,FPI Limits increased for Government securities increased. Corresponding limit for long term investors reduced.,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=9128&Mode=0,Investment Condition,Debt,1,
106,82,08-09-2014,2014,FPIs allowed to hedge the coupon receipts arising out of their investments in debt securities,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=9219&Mode=0,Investment Condition,Debt,1,
107,83,03-02-2015,2015,Future investments by FPIs in corporate bonds to be made in corporate bonds with residual maturity of three years,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=9543&Mode=0,Investment Condition,Debt,-1,
108,84,31-03-2015,2015,Revised Position Limits for Foreign Portfolio Investors (FPIs) in the Exchange Traded Currency Derivatives (ETCD) market,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=9630&Mode=0,Investment Condition,Derivatives,1,
109,84,31-03-2015,2015,Revised Position Limits for Foreign Portfolio Investors (FPIs) in the Exchange Traded Currency Derivatives (ETCD) market,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=9630&Mode=0,Investment Condition,Derivatives,1,
110,85,06-10-2015,2015,Increase in FPI Limits for government securities to be effected quarterly,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=10059&Mode=0,Investment Limit,Debt,1,
111,86,26-11-2015,2015,FPIs allowed to acquire bonds under default,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=10147&Mode=0,Investment Condition,General,1,
112,87,13-04-2016,2016,Limit of US$ 51 billion fixed in Rupee terms at Rs. 2443.23 billion (including masala bonds),https://rbi.org.in/Scripts/NotificationUser.aspx?Id=10350&Mode=0,Investment Limit,Debt,0,
113,88,08-07-2016,2016,"Amendment to FPI Regs: Transfer of offshore derivative instruments issued by FPIs or on their behalf (22(2), FPI Regs)",https://www.sebi.gov.in/legal/regulations/jul-2016/sebi-foreign-portfolio-investors-amendment-regulations-2016_32826.html,Investment Condition,Derivatives,-1,
114,89,27-12-2016,2016,Revision of limits for stock brokers/FPIs/Mfs for stock derivative contracts,https://www.sebi.gov.in/legal/circulars/dec-2016/review-of-the-position-limits-available-to-stock-brokers-foreign-portfolio-investors-fpis-category-i-and-ii-mutual-funds-mfs-for-stock-derivatives-contracts_33876.html,Investment Condition,Derivatives,1,
115,90,12-01-2017,2017,Amendment to FPI Regs: FPIs allowed to access corporate bonds and 'electronic book provider platform' of stock exchanges without a stock broker,https://www.sebi.gov.in/legal/regulations/jan-2017/securities-and-exchange-board-of-india-foreign-portfolio-investors-amendment-regulations-2017_34039.html,Investment Condition,General,1,
116,91,27-02-2017,2017,Amendment to FPI Regs: FPIs allowed to invest in unlisted convertible bonds and securitized debt instruments,https://www.sebi.gov.in/legal/regulations/feb-2017/sebi-foreign-portfolio-investors-amendment-regulations-2017-last-amended-on-february-27-2017-_34288.html,Investment Condition,Debt,1,
117,92,29-05-2017,2017,Amendment to FPI Regs: Offshore derivative instruments cannot be issued to persons who are residents in India or entities that are beneficially owned by Indians/NRIs,https://www.sebi.gov.in/legal/regulations/may-2017/sebi-foreign-portfolio-investors-third-amendment-regulations-2017_35030.html,Investment Condition,Derivatives,-1,
118,93,03-07-2017,2017,"FPI Limit in G-secs enhanced from INR 2,580 Bn to INR 2,751 Bn",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI12F1876719F68842A98FEF35F8C9646C30.PDF,Investment Limit,Debt,1,
119,94,20-07-2017,2017,Amendment to FPI Regs: Collection of regulatory fees from subscribers to ODIs by FPIs,https://www.sebi.gov.in/legal/regulations/jul-2017/sebi-foreign-portfolio-investors-fourth-amendment-regulations-2017_35501.html,Procedure,General,-1,
120,95,22-09-2017,2017,"FPI limit stipulated as per current INR rate deceasing to INR 2273.22 billion.
FPI limit for corporate bonds to be increased by INR 170 billion to get it to the same level as before from Jan 01, 2017",Not available,Investment Limit,Debt,0,
121,96,26-09-2017,2017,Permission to FPIs for trading in commodity derivatives in an IFSC,https://www.sebi.gov.in/legal/circulars/sep-2017/participation-of-foreign-portfolio-investors-fpis-in-commodity-derivatives-in-ifsc_36081.html,Investment Condition,Derivatives,1,
122,97,28-09-2017,2017,"FPI Limit in G-secs enhanced from INR 2,751 Bn to INR 2893 Bn",https://m.rbi.org.in/Scripts/BS_CircularIndexDisplay.aspx?Id=11132,Investment Limit,Debt,1,
123,98,07-11-2017,2017,FEMA 20R introduced,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11161&Mode=0,Investment Condition,General,0,
124,99,16-11-2017,2017,FPIs allowed to settle settle OTC secondary market transactions in Government Securities either on T+1 or on T+2 basis,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11172&Mode=0,Investment Condition,Debt,1,
125,100,08-03-2018,2018,Circular notifying separate limit of Interest Rate Futures (IRFs),https://www.sebi.gov.in/legal/circulars/mar-2018/separate-limit-of-interest-rate-futures-irfs-for-foreign-portfolio-investors-fpis-_38127.html,Investment Condition,Derivatives,1,
126,101,05-04-2018,2018,Amendment to FPI Regs: Relaxation in eligibility requirements for Category I and II FPIs,https://www.sebi.gov.in/legal/regulations/apr-2018/securities-and-exchange-board-of-india-foreign-portfolio-investors-amendment-regulations-2018_38626.html,Eligibility,General,1,
127,101,05-04-2018,2018,Exit of some investors from a broad based fund to not result in derecognition of the fund as Category-II,https://www.sebi.gov.in/legal/regulations/apr-2018/securities-and-exchange-board-of-india-foreign-portfolio-investors-amendment-regulations-2018_38626.html,Investment Condition,General,1,
128,101,05-04-2018,2018,Amendment to FPI Regs: FPis to adhere to the fit and proper criteria notified by SEBI as well as provide sufficient information to esure compiance with PMLA.,https://www.sebi.gov.in/legal/regulations/apr-2018/securities-and-exchange-board-of-india-foreign-portfolio-investors-amendment-regulations-2018_38626.html,Procedure,General,-1,
129,102,06-04-2018,2018,"Increase in FPI limits for Government securities and state development loans;
SDL sub limit, 'long-term' has been shifted  to G-Secs as no allocation has been done under the category;
G-sec ratio between long-term and general changed from 75:25 to 50:50",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11241&Mode=0,Investment Condition,Debt,1,
130,102,06-04-2018,2018,Corporate bond limit to be a single limit and all sub-limits to be merged,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11241&Mode=0,Investment Condition,Debt,1,
131,103,10-04-2018,2018,Circular modifying KYC criterion inter alia widening the definition of a beneficial owner,https://www.sebi.gov.in/legal/circulars/apr-2018/know-your-client-requirements-for-foreign-portfolio-investors-fpis-_38618.html,Procedure,General,-1,
132,104,27-04-2018,2018,Amendment to FPI Regs: All securities are to be held free from encumbrances not just equity shares,https://www.sebi.gov.in/legal/regulations/apr-2018/securities-and-exchange-board-of-india-foreign-portfolio-investors-second-amendment-regulations-2018_39180.html,Investment Condition,General,-1,
133,104,27-04-2018,2018,Minimum maturity period for investment into g-bonds reduced from 3 to 1 year,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11266&Mode=0,Investment Condition,Debt,1,
134,104,27-04-2018,2018,Investment in short term bonds (with maturity up to 1 year) should not be more than 20% of the investments made by the FPI in government bonds,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11266&Mode=0,Investment Condition,Debt,1,
135,104,27-04-2018,2018,Min. maturity of corporate bonds in which FPIs are allowed to invest lowered from 3 to 1 year.,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11266&Mode=0,Investment Condition,Debt,1,
136,104,27-04-2018,2018,Cap on investment by FPIs in investing in central government security increased from 20 to 30% of the outstanding stock of that security,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11266&Mode=0,Investment Condition,Debt,1,
137,104,27-04-2018,2018,Concentration limits specified for FPIs,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11266&Mode=0,Investment Condition,General,-1,
138,104,27-04-2018,2018,Authorities for monitoring FPI limits specified,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11266&Mode=0,Procedure,General,0,
