Case.No.,Bench,Who.filed..Corporate.Debtor..Operational.Creditor..Financial.Creditor,Type.of.Creditor..eg..employee..bank..NBFC.etc..,Type.of.operational.Creditor,Type.of.financial.Creditor,Secured..unsecured,Name.of.Corporate.Debtor,Due.Date.for.payment,Date.of.demand.notice,Date.of.receipt.service.of.Demand.Notice,Date.of.filing.in.NCLT,First.date.of.case.listing,Date.of.final.disposal,Evidence.of.debt..What.kind.of.document.,Admitted..dismissed,Name.of.Insolvency.Professional,Category.for.reason.for.dismissal,URL,BIFR.Y.N.,Appeal..Y.No.,Who.appealed.,Appeal.Allowed.Rejected
346/KB/2017,Kolkata Bench,Corporate Debtor,NA,NA,NA,Not Available,New Central Jute Mills Co. ltd.,Not Available,NA,NA,Not Available,Not Available,27.07.2017,Not Available,Admitted,NA,NA,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/110.pdf,N,N,NA,NA
CA(IB)234/KB/2017,Kolkata Bench,Corporate Debtor,NA,NA,NA,Not Available,Paschim Gujarat Vij Co. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,02.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/100.pdf,N,N,NA,NA
CP(IB)250/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Gopalpur Ports Ltd.,Not Available,17.04.2017,Not Available,Not Available,Not Available,09.08.2017,Bills raised,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/125.pdf,N,Y,Creditor, Rejected (withdrawn)
CP No.126/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,P.K. Ores Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,10.08.2017,Not Available,Dismissed,NA,Not Available,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/143.pdf,N,Y,Corporate Debtor,Allowed
CP(IB) No.386/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Neelachal Ispat Nigam Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,10.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/146.pdf,N,N,NA,NA
CP No.248/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Imeco Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,10.08.2017,Not Available,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/147.pdf,N,N,NA,NA
CP No.247/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Employee,NA,Unsecured,South Eastern Carriers Pvt. Ltd.,Not Available,25.03.2017,31.03.2017,Not Available,Not Available,11.08.2017,Not Available,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/142.pdf,N,N,NA,NA
CP(IB) No.274/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Jai Balaji Jyoti Steels Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,11.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/169.pdf,N,N,NA,NA
CP No.344/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Employee,NA,Not Available,Duncan Industries ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,17.08.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/258.pdf,N,N,NA,NA
CP No.199/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Coastal Projects Limited,Not Available,Not Available,Not Available,Not Available,Not Available,18.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/157.pdf,N,N,NA,NA
CP(IB) No.249/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Ankit Metal & Power Ltd.,Not Available,02.05.2017,Not Available,Not Available,Not Available,21.8.2017,Invoice,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/153.pdf,N,Y,Creditor,Rejected
CP(IB) No.404/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,KND Engineering and Technologies Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,22.08.2017,Not Available,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/192.pdf,N,N,NA,NA
CP(IB) No. 357/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Antarctica Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,24.08.2017,Not Available,Dismissed,NA,Non-prosecution,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/170.pdf,N,N,NA,NA
CP(IB) No. 362/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Jonbro Construction Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,29.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/Final%20order%20Bench%20II%20CP(IB)NO.%20362_KB_2017%20(First%20Choice%20Readymix).pdf,N,N,NA,NA
CP No. 209/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Balaji Polytex Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,31.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/255.pdf,N,N,NA,NA
CP/477(IB)/CB/2017,Chennai Bench,Creditor,Operational Creditor,Not Available,NA,Unsecured,Borg Energy India Pvt. Ltd.,Not Available,13.03.2017,Not Available,Not Available,Not Available,31.05.2017,Not Available,Admitted,Not appointed,NA,http://nclt.gov.in/interim_orders/chennai/31.05.2017/12.pdf,N,N,NA,NA
CP.500(IB)CB/2017,Chennai Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,A&A International Trading Pvt. Ltd.,03.02.2016,05.04.2017,Not Available,Not Available,Not Available,16.06.2017,"Sale and purchase agreement, analyst agreement and bills raised ",Admitted,Not Available,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/63.pdf,N,N,NA,NA
TCP/50/(IB)/CB/2017,Chennai Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Laxmi Ganesh textiles Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,25.07.2017,Not Available,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/74.pdf,N,N,NA,NA
CP/482/(IB)/CB/2017,Chennai Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Merchem Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,26.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/109.pdf,N,N,NA,NA
CP/536/(IB)/CB/2017,Chennai Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Infonet Asia Pvt. Ltd.,Not Available,01.04.2017,Not Available,Not Available,Not Available,02.08.2017,Invoice,Admitted,Not Available,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/317.pdf,N,N,NA,NA
CP/544/(IB)/2017,Chennai Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Nag Leathers Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,04.08.2017,Not Available,Dismissed,NA,Non-prosecution,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/218.pdf,N,N,NA,NA
CP/546/(IB)CB/2017,Chennai Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Visuwam Auto Spare Parts Pvt. Ltd.,Not Available,19.04.2017,Not Available,Not Available,Not Available,07.08.2017,Invoice,Admitted,Not Available,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/241.pdf,N,N,NA,NA
CP/532/(IB)/2017,Chennai Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Barath Builders Constructions Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,10.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/266.pdf,N,N,NA,NA
CP/537/(IB)/2017,Chennai Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Shriram EPC Ltd.,Not Available,05.05.2017,Not Available,Not Available,Not Available,10.08.2017,Not Available,Admitted,C Ramasubramanian,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/334.pdf,N,Y,Corporate Debtor,Allowed
CP/540/(IB)/CB/2017,Chennai Bench,Creditor,Operational Creditor,Others,NA,Not Available,Orchid Pharma Ltd.,Not Available,14.06.2017,Not Available,Not Available,Not Available,17.08.2017,Lease deed,Admitted,Mr. CMA CS Rajasekaran,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/365.pdf,N,N,NA,NA
CP/542/IB/CB/2017,Chennai Bench,Creditor,Operational Creditor,Employee,NA,Not Available,Kutty Flush Doors & Furniture Co. Pvt. Ltd.,Not Available,08.06.2017,Not Available,Not Available,Not Available,23.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/376.pdf,N,N,NA,NA
CP/550/(IB)/2017,Chennai Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Effel Exports Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,31.08.2017,Not Available,Dismissed,Not Available,Settlement,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/444.pdf,N,N,NA,NA
48/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Bank,Not Available,Alok Industries Ltd.,Not Available,NA,NA,29.06.2017,12.07.2017,18.07.2017,Not Available,Admitted,Mr. Ajay Joshi,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/133.pdf,N,N,NA,NA
43/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Jay Bhagwati Tex Prints Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,18.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/134.pdf,N,N,NA,NA
35/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,GEI Industrial Systems Ltd.,Not Available,30.03.2017,03.04.2017,29.05.2017,05.07.2017,20.07.2017,"Invoices and purchase prders, letter from Respondent, legal notices, bank statement",Admitted,Not Available,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/144.pdf,N,N,NA,NA
42/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Not Available,Not Available,Anil Ltd.,Not Available,NA,NA,Not Available,Not Available,20.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/145.pdf,N,N,NA,NA
32/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,NBFC,Secured,K.S. Oils Ltd.,Not Available,NA,NA,Not Available,05.07.2017,21.07.2017,"Rupeeloan agreement, Supplementary Agreement, deed of hypothecation , guarantor",Admitted,Mr. Kuldip Verma,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/147.pdf,N,N,NA,NA
41/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Anil Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,25.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/153.pdf,N,N,NA,NA
49/10/NCLT/AHM/2017,Ahmedabad Bench,Corporate Debtor,NA,NA,NA,Secured and unsecured,Somnath Textile Pvt. Ltd.,Not Available,NA,NA,Not Available,Not Available,28.07.2017,list of financial and operational Creditors and valuation reports,Admitted,Mr. Premraj Ram Ratan Laddha,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/168.pdf,N,N,NA,NA
30/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Aerocon Buildwell Pvt. Ltd.,Not Available,03.04.2017,05.04.2017,25.05.2017,04.07.2017,31.07.2017,"Invoices, Bils, ledgers",Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/169.pdf,N,Y,Creditor,Allowed
33/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Vendor,NA,Secured,Ardor Global Pvt. Ltd.,Not Available,Not Available,Not Available,31.05.2017,Not Available,31.07.2017,Deed of Gurantee and invoices,Admitted,Mr. Ravi Kapoor,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/170.pdf,N,N,NA,NA
55/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Not Available,Not Available,V S Texmiles Pvt. Ltd.,Not Available,NA,NA,Not Available,Not Available,31.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/174.pdf,N,N,NA,NA
53/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Bank,Secured,ABG Shipyard Ltd.,Not Available,NA,NA,03.07.2017,20.07.2017,01.08.2017,Guarantees and letters of Comfort,Admitted,Mr. Sudaresh Bhatt,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/176.pdf,N,N,NA,NA
58/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Rajkamal Builders Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,01.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/177.pdf,N,N,NA,NA
47/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Shri Ram Multi Tech Ltd.,Not Available,02.02.2017,03.02.2017,Not Available,12.07.2017,01.08.2017,"Invoice purchase orders, delivery challan",Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/178.pdf,N,N,NA,NA
59/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Khushbu Vinyl Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,01.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/179.pdf,N,N,NA,NA
50/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Employee,NA,Unsecured,Acteon India Pvt. Ltd.,Not Available,25.05.2017,25.05.2017,21.06.2017,13.07.2017,01.08.2017,Remuneration agreement,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/180.pdf,N,Y,Creditor, Rejected (withdrawn)
40/7/NCLT/AHM/2017 and 39/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Bank,Secured,Essar Steels Ltd.,Not Available,NA,NA,Not Available,Not Available,02.08.2017,"Term loan agreement, facility agreement, amendment agreement, annual reports, notices",Admitted,Mr. Satish Kumar Gupta,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/182.pdf,N,N,NA,NA
44/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Syso Industries Ltd.,Not Available,02.03.2017,03.03.2017,15.06.2017,11.07.2017,02.08.2017,"Invoices, ledgers, orders, delivery challan",Admitted,Mr. Hemanshu Kapadia,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/185.pdf,N,Y,Corporate Debtor,Allowed
56/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Not Available,Not Available,Balaji Infrabuild Pvt. Ltd.,Not Available,NA,NA,Not Available,Not Available,02.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/186.pdf,N,N,NA,NA
52/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Employee,NA,Unsecured,International Frozen Foods Industries Ltd.,Not Available,01.06.2017,01.06.2017,29.06.2017,13.07.2017,02.08.2017,letter of appointment and other letters addressed to the respondent,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/187.pdf,N,N,NA,NA
45/10/NCLT/AHM/2017,Ahmedabad Bench,Corporate Debtor,NA,NA,NA,Secured and unsecured,Ruby Cables Ltd.,Not Available,NA,NA,28.06.2017,12.07.2017,02.08.2017,Not Available,Admitted,Mr. Pinakin Shah,NA,Y,N,N,NA,NA
38/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Entire Ceramics Ltd.,Not Available,02.05.2017,Not Available,31.05.2017,06.07.2017,03.08.2017,"Invoices, debit notes, bank account statements",Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/188.pdf,N,N,NA,NA
46/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Mekastar Engineering Ltd.,Not Available,16.02.2017,Not Available,Not Available,Not Available,04.08.2017,"Invoices, email",Admitted,Not Available,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/192.pdf,N,N,NA,NA
51/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Bank,Secured,Radheshyam Fibres Pvt. Ltd.,28.06.2016,NA,NA,,13.07.2017,07.08.2017,"Term loan agreements, hypothecation deeds, guarantors, bank statements",Admitted,Mr. Ramchandra D. Choudhary,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/198.pdf,N,Y,Corporate Debtor, Rejected
60/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Wind World (India) Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,08.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/204.pdf,N,N,NA,NA
61/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Wind World (India) Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,08.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/205.pdf,N,N,NA,NA
62/10/NCLT/AHM/2017,Ahmedabad Bench,Corporate Debtor,NA,NA,NA,Not Available,Well Pack Papers and Containers Ltd.,Not Available,Not Available,Not Available,11.07.2017,1.08.2017,09.08.2017,Financial Statements,Admitted,Mr. Ramchandra D. Choudhary,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/207.pdf,N,N,NA,NA
64/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Sumangal Glass Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,09.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/208.pdf,N,N,NA,NA
57/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Delf Constructing Engineers (India) Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,11.08.2017,Not Available,Dismissed,Not Available,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/215.pdf,N,N,NA,NA
54/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Bank,Secured,Keti Highway Developers Pvt. Ltd.,Not Available,NA,NA,Not Available,02.08.2017,17.08.2017,"Escrow Account agreement, term loan agreement, hypothecation deed,term loan agreement",Admitted,Mr. Udayraj Patwardhan,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/230.pdf,N,N,NA,NA
67/10/NCLT/AHM/2017,Ahmedabad Bench,Corporate Debtor,NA,NA,NA,Secured,Metal Links Alloys Ltd.,NA,NA,NA,NA,NA,17.08.2017,"Title Deeds, mortgage deed, term loan agreements",Admitted,Mr. Rakesh Chaturvedi,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/229.pdf,N,N,NA,NA
68/10/NCLT/AHM/2017,Ahmedabad Bench,Corporate Debtor,NA,NA,NA,Secured and Unsecured,Metal Holdings India Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,17.08.2017,"Loan documents, mortgage deed, ledger accounts",Admitted,Mr. Rakesh Chaturvedi,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/228.pdf,N,N,NA,NA
86/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Bank,Not Available,Steel Konnect (India) Pvt. Ltd.,Not Available,NA,NA,Not Available,Not Available,18.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/237.pdf,N,N,NA,NA
73/10/NCLT/AHM/2017,Ahmedabad Bench,Corporate Debtor,NA,NA,NA,Secured and Unsecured,Shiv Cotgin Pvt. Ltd.,NA,NA,NA,NA,NA,21.08.2017,"Hypothecation deed, bank statements",Admitted,Mr. Prem Laddha,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/248.pdf,N,N,NA,NA
63/10/NCLT/AHM/2017,Ahmedabad Bench,Corporate Debtor,NA,NA,NA,Secured and Unsecured,Dev Cotex Pvt. Ltd.,NA,NA,NA,NA,NA,21.08.2017,audited financial statements,Admitted,Mr. Prem Laddha,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/251.pdf,N,N,NA,NA
74/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Kanoovi Foods Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,22.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/254.pdf,N,N,NA,NA
60/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Ps Accounting Service Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,22.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/255.pdf,N,N,NA,NA
79/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Ps Accounting Service Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,22.08.2017,Not Available,Dismissed,NA,Non-prosecution,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/257.pdf,N,N,NA,NA
83/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Unspecified,Not Available,Bhatia Coke Washeries Ltd.,Not Available,NA,NA,Not Available,Not Available,23.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/323.pdf,N,N,NA,NA
65/7/NCLT/AHM/2017 ,Ahmedabad Bench,Creditor,Financial Creditor,NA,NBFC,Secured,Anil Nutrients Ltd.,Not Available,NA,NA,Not Available,Not Available,23.08.2017,"Guarantor agreement, working capital facility agreement,Term Loan facility",Admitted,Mr. Subodh Kumar Bajranglal Kedia,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/320.pdf,N,N,NA,NA
"69/7/NCLT/AHM/2017,71/7/NCLT/AHM/2017,CP(IB) No.70/7/NCLT/AHM/2016, 66/7/NCLT/AHM/2017",Ahmedabad Bench,Creditor,Financial Creditor,NA,NBFC,Secured,Anil Ltd.,Not Available,NA,NA,Not Available,Not Available,23.08.2017,"Guarantor agreement, working capital facility agreement,Term Loan facility",Admitted,Mr. Pramod Bajranglal Kedia,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/319.pdf,N,N,NA,NA
82/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Bank,Not Available,Bhatia Coke Energy Ltd.,Not Available,NA,NA,Not Available,Not Available,23.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/317.pdf,N,N,NA,NA
77/9/NCLT/AHM/2016,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Ashish Infracon  Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,24.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/328.pdf,N,N,NA,NA
CP No. 78/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Bank,Secured,Shakti Nutraceuticals PVt. Ltd.,Not Available,NA,NA,Not Available,11.08.2017,28.08.2017,Guarantors and demand promisspry note,Admitted,Mr. Pinakin Shah,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/347.pdf,N,N,NA,NA
CP(IB) No. 110/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Unspecified,Not Available,Anil Ltd.,Not Available,NA,NA,Not Available,Not Available,29.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/368.pdf,N,N,NA,NA
CP(IB) No. 100/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Unspecified,Not Available,Anil Ltd.,Not Available,NA,NA,Not Available,Not Available,29.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/367.pdf,N,N,NA,NA
CP(IB) No. 104/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Anil Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,29.08.2017,Not Available,Dismissed,NA,Existing IRP,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/369.pdf,N,N,NA,NA
CP(IB) No. 105/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Unspecified,Not Available,Anil Ltd.,Not Available,NA,NA,Not Available,Not Available,29.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/366.pdf,N,N,NA,NA
CP(IB) No. 99/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Anil Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,29.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/365.pdf,N,N,NA,NA
CP(IB) No. 106/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Unspecified,Not Available,Anil Ltd.,Not Available,NA,NA,Not Available,Not Available,29.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/364.pdf,N,N,NA,NA
CP(IB) No. 109/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Unspecified,Not Available,Anil Ltd.,Not Available,NA,NA,Not Available,Not Available,29.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/363.pdf,N,N,NA,NA
