Case.No.,Bench,Who.filed..Corporate.Debtor..Operational.Creditor..Financial.Creditor,Type.of.Creditor..eg..employee..bank..NBFC.etc..,Type.of.operational.Creditor,Type.of.financial.Creditor,Secured..unsecured,Name.of.Corporate.Debtor,Due.Date.for.payment,Date.of.demand.notice,Date.of.receipt.service.of.Demand.Notice,Date.of.filing.in.NCLT,First.date.of.case.listing,Date.of.final.disposal,Evidence.of.debt..What.kind.of.document.,Admitted..dismissed,Name.of.Insolvency.Professional,Category.for.reason.for.dismissal,URL,BIFR.Y.N.,Appeal..Y.No.,Who.appealed.,Appeal.Allowed.Rejected
CP(IB) No. 13/Chd/Hry/2017   CP(IB) No. 14/Chd/Hry/2017  ,Chandigarh Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Meyer Apparel Limited,Not Available,15.02.2017,Not Available,Not Available,Not Available,07.04.2017,"Invoices, purchase orders",Admitted,Arun Jain,NA,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/Surbhi%20Body%20Products.7.4.17.pdf,N,Y,Corporate Debtor,Allowed
CP(IB) No. 9/Chd/CHD/2017 ,Chandigarh Bench,Corporate Debtor,NA,NA,NA,Secured,Sky Blue Papers Private Limited,Not Available,NA,NA,Not Available,30.03.2017,07.04.2017,Books of accounts,Admitted,Jalesh Kumar Grover,NA,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/Sky%20Blue%20Papers%20cp%20ib%209%2007.04.2017.pdf,N,N,NA,NA
CP(IB) No. 7/Chd/HR/2017 ,Chandigarh Bench,Corporate Debtor,NA,NA,NA,Secured,Recorders and Medicare System Private Limited,Not Available,NA,NA,Not Available,15.03.2017,16.03.2017,NA,Admitted,Purushottam Ram Singhania,NA,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/Recorders%20and%20medicare%20systems%2016%20March%2017.pdf,Y,N,NA,NA
CP(IB) No. 1(Chd)/2017 ,Chandigarh Bench,Corporate Debtor,NA,NA,NA,Secured,Hind Motors Limited,Not Available,NA,NA,Not Available,03.02.2017,14.02.2017,NA,Admitted,Manik Goyal,NA,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/Hind%20Motors%20Ltd..pdf,N,Y,Corporate Debtor,Allowed
CP(IB) No. 19/Chd/Hry/2017 ,Chandigarh Bench,Creditor,Financial Creditor,NA,Corporate Lender,Secured,Y.K. Developers Private Limited,09.06.2016,NA,NA,Not Available,01.05.2017,09.05.2017,Documents evidencing the creation of security,Dismissed,NA,Other,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/YKdeveloper.pdf,N,N,NA,NA
CP(IB) No. 11/PB/2017 ,Chandigarh Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Isolux Corsan India Engineering,Not Available,03.01.2017,Not Available,Not Available,25.04.2017,08.05.2017,Unclear,Dismissed,NA,Other,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/Isolux3.pdf,N,Y,Creditor,Rejected
CP No. (IB)-49(PB)/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,JDS Apparels Private Limited,01.05.2016,09.02.2017,Not Available,Not Available,Not Available,18.05.2017,Mall Maintenance Agreement,Admitted,Mr.Jagdish Kumar Aggarwal,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/13.pdf,N,N,NA,NA
CP No. (IB)-64(PB)/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Others,NA,Unsecured,Shilpi Cable Technologies Limited,28.03.2016,08.03.2017,Not Available,Not Available,Not Available,24.05.2017,Invoices,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/12.pdf,N,N,NA,NA
CP No. (IB)-65(PB)/2017,New Delhi (Principal Bench),Creditor,Operational Creditor,Not Available,NA,Not Available,Shilpi Cable Technologies Limited,Not Available,Not Available,Not Available,Not Available,Not Available,24.05.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/11.pdf,N,N,NA,NA
CP No. (IB)-90(ND)/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,Amrapali Media Vision Private Limited,Not Available,16.03.2017,Not Available,Not Available,Not Available,30.05.2017,Invoices and delivery receipts,Admitted,Mayank Goel,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/16.pdf,N,N,NA,NA
CP No. (IB)-105(PB)/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Others,NA,Unsecured,Bhasin Infotech and Infrastructure Private Limited,01.10.2016,Not Available,Not Available,Not Available,Not Available,31.05.2017,Unclear,Dismissed,NA,Other,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/18.pdf,N,N,NA,NA
CP No. (IB)-103(PB)/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,Mahan Proteins Limited ,Not Available,13.04.2017,Not Available,Not Available,Not Available,21.06.2017,Invoices and delivery receipts,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/35.pdf,N,N,NA,NA
